target,split,config,n,mae,rmse,r2
ElectronAffinity,leave_period_out,gray_mog_planar,57,0.6399463960258227,0.8464285478685826,0.05652967623753391
ElectronAffinity,leave_period_out,gray_mog_stacked,57,0.7175305741133012,0.9407036780961131,-0.16534179657576353
ElectronAffinity,leave_period_out,gray_mog_cylinder,57,0.741435916911168,0.978352911024627,-0.26048801954957224
ElectronAffinity,leave_period_out,gray_mog_sphere,57,0.716814723959854,0.9648475158464368,-0.22592811512170297
ElectronAffinity,leave_period_out,random_00,57,0.8405896181685342,1.0196673861510683,-0.3691930831738648
ElectronAffinity,leave_period_out,random_01,57,0.7831334823552372,1.0167144265044408,-0.36127419225080315
ElectronAffinity,leave_period_out,random_02,57,0.840195517262261,1.0626810984273911,-0.4871458074701245
ElectronAffinity,leave_period_out,random_03,57,0.7550023310662657,0.9682720315552247,-0.23464588727594338
ElectronAffinity,leave_period_out,random_04,57,0.8080962337708466,1.030475727966238,-0.39837345952197367
ElectronAffinity,leave_period_out,random_05,57,0.7421680030152628,0.9760294415137281,-0.2545081164100256
ElectronAffinity,leave_period_out,random_06,57,0.8043627549336254,0.9895571595565805,-0.2895239415479576
ElectronAffinity,leave_period_out,random_07,57,0.7694961515080834,0.9392074084616915,-0.16163759330764083
ElectronAffinity,leave_group_out,z_poly,57,0.731655746011765,0.9500343202357879,-0.18857400657051682
ElectronAffinity,leave_group_out,message_bits,57,0.7556766457131342,1.0032786948408807,-0.3255338381293891
ElectronAffinity,leave_group_out,golay_bits,57,0.867492496611574,1.145952888422913,-0.7293431035219204
ElectronAffinity,leave_group_out,mog_planar,57,0.8351433402283497,1.0859938419361197,-0.5531105305154966
ElectronAffinity,leave_group_out,mog_stacked,57,0.8408911153164338,1.0835766480120705,-0.5462044299517905
ElectronAffinity,leave_group_out,mog_cylinder,57,0.8345686735339722,1.071908569487561,-0.5130843000803988
ElectronAffinity,leave_group_out,mog_sphere,57,0.8685199902947316,1.09822653535679,-0.5882962296671101
ElectronAffinity,leave_group_out,gray_message_bits,57,0.7410082170670078,0.9666043586392041,-0.23039664258945036
ElectronAffinity,leave_group_out,gray_golay_bits,57,0.8265994039057194,1.0799519475545072,-0.5358772343835037
ElectronAffinity,leave_group_out,gray_mog_planar,57,0.6944989790604704,0.907049565182904,-0.0834520061120465
ElectronAffinity,leave_group_out,gray_mog_stacked,57,0.7459730100990205,0.9794951310407631,-0.26343295911363906
ElectronAffinity,leave_group_out,gray_mog_cylinder,57,0.7700307591734581,0.996892975012041,-0.30871388540041744
ElectronAffinity,leave_group_out,gray_mog_sphere,57,0.7608597330490862,1.0037735623962831,-0.3268418006538767
ElectronAffinity,leave_group_out,random_00,57,0.8590776371516524,1.0947185074090757,-0.5781655535317802
ElectronAffinity,leave_group_out,random_01,57,0.7582512417999983,1.0111252445654373,-0.34634867120707025
ElectronAffinity,leave_group_out,random_02,57,0.8179368484096232,1.0667281114499376,-0.49849438343522934
ElectronAffinity,leave_group_out,random_03,57,0.7609041530846558,1.0089383768454936,-0.3405311871624408
ElectronAffinity,leave_group_out,random_04,57,0.8375487145055217,1.0688038639026118,-0.5043319154767301
ElectronAffinity,leave_group_out,random_05,57,0.8033045046498729,1.046689406830841,-0.4427241341531536
ElectronAffinity,leave_group_out,random_06,57,0.8121369645049408,1.0430115213103115,-0.43260298134620734
ElectronAffinity,leave_group_out,random_07,57,0.7235553554827119,0.9226045168874593,-0.12093077314033795
ElectronAffinity,shuffled_target,z_poly,57,0.6971580830770016,0.8849512683986455,-0.03130316659519128
ElectronAffinity,shuffled_target,mog_planar,57,0.7764238298827125,0.9782643292272525,-0.2602597762678207
MeltingPoint,leave_period_out,z_poly,103,708.1820513128582,884.4355628954517,0.00021015290035297784
