held_out_period,endpoint,family,assignment,auc,test_elements
5,GroupBlock,B,random_14,0.8159373745483741,18
5,StandardState,B,random_14,0.7443771626297578,18
5,GroupBlock,B,random_15,0.7912484945804897,18
5,StandardState,B,random_15,0.6872837370242214,18
5,GroupBlock,C,fixed,0.797671617824167,18
5,StandardState,C,fixed,0.7383217993079585,18
5,GroupBlock,C,random_00,0.7864311521477318,18
5,StandardState,C,random_00,0.6838235294117647,18
5,GroupBlock,C,random_01,0.786029706945002,18
5,StandardState,C,random_01,0.7093425605536332,18
5,GroupBlock,C,random_02,0.7874347651545563,18
5,StandardState,C,random_02,0.6336505190311419,18
5,GroupBlock,C,random_03,0.7872340425531915,18
5,StandardState,C,random_03,0.7141003460207612,18
5,GroupBlock,C,random_04,0.7934564431955038,18
5,StandardState,C,random_04,0.6673875432525952,18
5,GroupBlock,C,random_05,0.8329987956643918,18
5,StandardState,C,random_05,0.7093425605536332,18
5,GroupBlock,C,random_06,0.7994781212364512,18
5,StandardState,C,random_06,0.6769031141868512,18
5,GroupBlock,C,random_07,0.7996788438378162,18
5,StandardState,C,random_07,0.6955017301038062,18
5,GroupBlock,C,random_08,0.8307908470493778,18
5,StandardState,C,random_08,0.8386678200692042,18
5,GroupBlock,C,random_09,0.8319951826575672,18
5,StandardState,C,random_09,0.7902249134948097,18
5,GroupBlock,C,random_10,0.8271778402248093,18
5,StandardState,C,random_10,0.7141003460207612,18
5,GroupBlock,C,random_11,0.7858289843436371,18
5,StandardState,C,random_11,0.6777681660899654,18
5,GroupBlock,C,random_12,0.8032918506623846,18
5,StandardState,C,random_12,0.745674740484429,18
5,GroupBlock,C,random_13,0.837213970293055,18
5,StandardState,C,random_13,0.7067474048442907,18
5,GroupBlock,C,random_14,0.8438378161380972,18
5,StandardState,C,random_14,0.8070934256055363,18
5,GroupBlock,C,random_15,0.7994781212364512,18
5,StandardState,C,random_15,0.6756055363321799,18
6,GroupBlock,raw,fixed,0.9048098169191919,32
6,StandardState,raw,fixed,0.6409270774448841,32
6,GroupBlock,A,fixed,0.8835819128787878,32
6,StandardState,A,fixed,0.6165818729979272,32
6,GroupBlock,A,random_00,0.9081044823232324,32
6,StandardState,A,random_00,0.6602977199924628,32
6,GroupBlock,A,random_01,0.8968789457070707,32
6,StandardState,A,random_01,0.6932353495383455,32
6,GroupBlock,A,random_02,0.9056384154040404,32
6,StandardState,A,random_02,0.6374222724703222,32
6,GroupBlock,A,random_03,0.9125434027777778,32
6,StandardState,A,random_03,0.6358771433955154,32
6,GroupBlock,A,random_04,0.9081833964646465,32
6,StandardState,A,random_04,0.6353872244205766,32
6,GroupBlock,A,random_05,0.8937421085858586,32
6,StandardState,A,random_05,0.7187111362351611,32
6,GroupBlock,A,random_06,0.8895991161616161,32
6,StandardState,A,random_06,0.6034671188995666,32
6,GroupBlock,A,random_07,0.9138849431818182,32
6,StandardState,A,random_07,0.6953080836630865,32
6,GroupBlock,A,random_08,0.9027383207070707,32
6,StandardState,A,random_08,0.6359525155455059,32
6,GroupBlock,A,random_09,0.8968000315656566,32
6,StandardState,A,random_09,0.6714904842660637,32
6,GroupBlock,A,random_10,0.8963265467171717,32
6,StandardState,A,random_10,0.6287544752214057,32
6,GroupBlock,A,random_11,0.9164101957070707,32
6,StandardState,A,random_11,0.6448464292443942,32
6,GroupBlock,A,random_12,0.9108467487373737,32
6,StandardState,A,random_12,0.6258526474467684,32
6,GroupBlock,A,random_13,0.9117148042929293,32
6,StandardState,A,random_13,0.6646693046919163,32
6,GroupBlock,A,random_14,0.894827178030303,32
6,StandardState,A,random_14,0.5959299039005088,32
6,GroupBlock,A,random_15,0.8959714330808081,32
6,StandardState,A,random_15,0.6218579234972678,32
6,GroupBlock,B,fixed,0.9083214962121212,32
6,StandardState,B,fixed,0.6521952138684756,32
6,GroupBlock,B,random_00,0.8931897095959596,32
6,StandardState,B,random_00,0.6796683625400415,32
6,GroupBlock,B,random_01,0.9008443813131313,32
6,StandardState,B,random_01,0.6614283022423214,32
6,GroupBlock,B,random_02,0.9033696338383839,32
6,StandardState,B,random_02,0.659543998492557,32
6,GroupBlock,B,random_03,0.8879419191919192,32
6,StandardState,B,random_03,0.6758243828905219,32
6,GroupBlock,B,random_04,0.8985755997474747,32
6,StandardState,B,random_04,0.7065008479366874,32
6,GroupBlock,B,random_05,0.9139835858585859,32
6,StandardState,B,random_05,0.6362540041454683,32
6,GroupBlock,B,random_06,0.9148910984848485,32
6,StandardState,B,random_06,0.6576220086677973,32
6,GroupBlock,B,random_07,0.8947285353535354,32
6,StandardState,B,random_07,0.6651215375918598,32
6,GroupBlock,B,random_08,0.9019294507575758,32
6,StandardState,B,random_08,0.620576596947428,32
6,GroupBlock,B,random_09,0.9072364267676768,32
6,StandardState,B,random_09,0.6679479932165066,32
6,GroupBlock,B,random_10,0.8999171401515151,32
6,StandardState,B,random_10,0.6164311286979461,32
6,GroupBlock,B,random_11,0.9144767992424242,32
6,StandardState,B,random_11,0.6331637459958546,32
6,GroupBlock,B,random_12,0.9062894570707071,32
6,StandardState,B,random_12,0.6456001507443,32
6,GroupBlock,B,random_13,0.9054214015151515,32
6,StandardState,B,random_13,0.6630488034671189,32
6,GroupBlock,B,random_14,0.9004695391414141,32
6,StandardState,B,random_14,0.6850951573393631,32
6,GroupBlock,B,random_15,0.8944917929292929,32
6,StandardState,B,random_15,0.6228377614471453,32
6,GroupBlock,C,fixed,0.8868173926767676,32
6,StandardState,C,fixed,0.6514038062935745,32
6,GroupBlock,C,random_00,0.9074928977272727,32
6,StandardState,C,random_00,0.6636517806670436,32
6,GroupBlock,C,random_01,0.8927754103535354,32
6,StandardState,C,random_01,0.6845298662144338,32
6,GroupBlock,C,random_02,0.9120107323232324,32
6,StandardState,C,random_02,0.5941963444507254,32
6,GroupBlock,C,random_03,0.8975299873737373,32
6,StandardState,C,random_03,0.7008856227623893,32
6,GroupBlock,C,random_04,0.9080847537878788,32
6,StandardState,C,random_04,0.649255700018843,32
6,GroupBlock,C,random_05,0.8928543244949495,32
6,StandardState,C,random_05,0.5839457320520068,32
6,GroupBlock,C,random_06,0.901238952020202,32
6,StandardState,C,random_06,0.6464669304691917,32
6,GroupBlock,C,random_07,0.9012784090909091,32
6,StandardState,C,random_07,0.6316563029960429,32
6,GroupBlock,C,random_08,0.8840553977272727,32
6,StandardState,C,random_08,0.74983983418127,32
6,GroupBlock,C,random_09,0.8966422032828283,32
6,StandardState,C,random_09,0.673864706990767,32
6,GroupBlock,C,random_10,0.9064078282828283,32
6,StandardState,C,random_10,0.6570944036178632,32
6,GroupBlock,C,random_11,0.8823587436868687,32
6,StandardState,C,random_11,0.6598454870925193,32
6,GroupBlock,C,random_12,0.902896148989899,32
6,StandardState,C,random_12,0.6913510457885811,32
6,GroupBlock,C,random_13,0.9126025883838383,32
6,StandardState,C,random_13,0.6046353872244206,32
6,GroupBlock,C,random_14,0.9106100063131313,32
6,StandardState,C,random_14,0.6639532692670058,32
6,GroupBlock,C,random_15,0.8963660037878788,32
6,StandardState,C,random_15,0.6339928396457509,32
7,GroupBlock,raw,fixed,0.6822310586125567,32
7,StandardState,raw,fixed,0.49501779359430603,32
7,GroupBlock,A,fixed,0.6674171101105199,32
7,StandardState,A,fixed,0.4680377389721096,32
7,GroupBlock,A,random_00,0.6785080794495448,32
7,StandardState,A,random_00,0.487287925184143,32
7,GroupBlock,A,random_01,0.6619983236847747,32
7,StandardState,A,random_01,0.462045849540677,32
7,GroupBlock,A,random_02,0.6742783073114633,32
7,StandardState,A,random_02,0.4949184805098072,32
7,GroupBlock,A,random_03,0.6911973958637896,32
7,StandardState,A,random_03,0.5023338574857238,32
7,GroupBlock,A,random_04,0.6772021129368653,32
7,StandardState,A,random_04,0.49112803111809983,32
7,GroupBlock,A,random_05,0.6507319260082256,32
7,StandardState,A,random_05,0.4544649507572623,32
7,GroupBlock,A,random_06,0.6679628871605949,32
7,StandardState,A,random_06,0.4874037904493917,32
7,GroupBlock,A,random_07,0.658021948034228,32
7,StandardState,A,random_07,0.474128941488041,32
7,GroupBlock,A,random_08,0.655468491121377,32
7,StandardState,A,random_08,0.4804684267152197,32
7,GroupBlock,A,random_09,0.6937898368516461,32
7,StandardState,A,random_09,0.5051146238516925,32
7,GroupBlock,A,random_10,0.6822505506500595,32
7,StandardState,A,random_10,0.4949184805098072,32
7,GroupBlock,A,random_11,0.6863828626006276,32
7,StandardState,A,random_11,0.4976992468757759,32
7,GroupBlock,A,random_12,0.6756037658616455,32
7,StandardState,A,random_12,0.47560208557477446,32
7,GroupBlock,A,random_13,0.6651365417227063,32
7,StandardState,A,random_13,0.494935032690557,32
7,GroupBlock,A,random_14,0.6464046936826306,32
7,StandardState,A,random_14,0.47533725068277743,32
7,GroupBlock,A,random_15,0.6439681889947956,32
7,StandardState,A,random_15,0.47340064553504924,32
7,GroupBlock,B,fixed,0.7004756057150654,32
7,StandardState,B,fixed,0.5079284945791608,32
7,GroupBlock,B,random_00,0.6760130986492018,32
7,StandardState,B,random_00,0.49920549532400893,32
7,GroupBlock,B,random_01,0.7207083406428474,32
7,StandardState,B,random_01,0.49947033021600595,32
7,GroupBlock,B,random_02,0.6752724012240999,32
7,StandardState,B,random_02,0.4920715054208392,32
7,GroupBlock,B,random_03,0.6696976784983334,32
7,StandardState,B,random_03,0.49117768766034925,32
