candidate_id,topology,series_kind,series_value,series_unit,shunt_kind,shunt_value,shunt_unit,x0,b0,centre_gamma,mean_gamma,worst_gamma,mean_reflected_power,worst_vswr,raw_z_distance,smith_score,glm_score
LNET-02566,shunt_then_series,L,1.6243683359034936e-09,H,C,1.949242003084189e-12,F,0.20000000000000018,0.5999999999999996,0.32242392634137196,0.3141787583929749,0.41871818466930666,0.10214231118123142,2.44067188625571,0.47884677140799836,0.3141787583929749,
LNET-02436,shunt_then_series,C,8.121841679517462e-12,F,L,1.0152302099396829e-08,H,-0.3999999999999999,-0.7999999999999998,0.34407534269209505,0.3468580221837838,0.41943782518373995,0.12254290372916754,2.4449367987726247,0.5255036459040393,0.3468580221837838,
LNET-02439,shunt_then_series,C,8.121841679517462e-12,F,L,4.060920839758726e-08,H,-0.3999999999999999,-0.20000000000000018,0.3290680123032613,0.33360185160526556,0.42240109235598183,0.11295997531124403,2.462610426598359,0.5525665148557056,0.33360185160526556,
LNET-00838,series_then_shunt,none,0.0,,L,1.3536402799195764e-08,H,0.0,-0.6000000000000001,0.30741539200303725,0.30962853186406386,0.42441041606880064,0.10199928763146336,2.4746980415112265,0.48089903076238144,0.30962853186406386,
LNET-02519,shunt_then_series,none,0.0,,L,1.3536402799195764e-08,H,0.0,-0.6000000000000001,0.30741539200303725,0.30962853186406386,0.42441041606880064,0.10199928763146336,2.4746980415112265,0.48089903076238144,0.30962853186406386,
LNET-02395,shunt_then_series,C,5.414561119678306e-12,F,L,1.0152302099396829e-08,H,-0.6000000000000001,-0.7999999999999998,0.39942656197867665,0.3999049930207221,0.4309909100550896,0.16032544186349193,2.5148823372815245,0.6225222220331871,0.3999049930207221,
LNET-00881,series_then_shunt,L,1.6243683359034936e-09,H,L,4.060920839758726e-08,H,0.20000000000000018,-0.20000000000000018,0.31777347045129106,0.32892445480078597,0.4310991485830488,0.11180641451412765,2.5155510754090735,0.519843827602692,0.32892445480078597,
LNET-00716,series_then_shunt,C,5.414561119678306e-12,F,L,2.0304604198793658e-08,H,-0.6000000000000001,-0.3999999999999999,0.2617640585177043,0.27233115677487263,0.43163758944524644,0.07934772926217618,2.5188815496223405,0.5976532261645127,0.27233115677487263,
LNET-02477,shunt_then_series,C,1.6243683359034905e-11,F,L,1.0152302099396829e-08,H,-0.20000000000000018,-0.7999999999999998,0.3248250954990366,0.3269678367350968,0.43352367642061784,0.11216179506283834,2.5305976909372694,0.4906612038606927,0.3269678367350968,
LNET-00714,series_then_shunt,C,5.414561119678306e-12,F,L,1.0152302099396829e-08,H,-0.6000000000000001,-0.7999999999999998,0.12004056977612874,0.17081359533609472,0.4357031139620197,0.04235734178422083,2.5442336285821523,0.42751328147109574,0.17081359533609472,
LNET-00753,series_then_shunt,C,8.121841679517462e-12,F,L,6.768201399597882e-09,H,-0.3999999999999999,-1.2000000000000002,0.19644959473198675,0.27224404449777934,0.43915663800219473,0.07814410101327544,2.5660580752453064,0.4863892087957714,0.27224404449777934,
LNET-02647,shunt_then_series,L,4.8731050077104735e-09,H,C,1.2994946687227947e-12,F,0.5999999999999996,0.40000000000000036,0.3869803556132792,0.3952884935410204,0.44647806451779803,0.1570590828228271,2.613226273061239,0.6525683814462455,0.3952884935410204,
LNET-02482,shunt_then_series,C,1.6243683359034905e-11,F,C,6.497473343613974e-13,F,-0.20000000000000018,0.20000000000000018,0.3194138366556635,0.3139308470063452,0.446996682812428,0.10353698617847386,2.6166148336532022,0.510130603441641,0.3139308470063452,
LNET-02608,shunt_then_series,L,3.248736671806987e-09,H,C,2.5989893374455867e-12,F,0.40000000000000036,0.7999999999999998,0.37551849689647926,0.3684016346342789,0.44875598490816543,0.1377855237364289,2.628157304649938,0.5484409703550561,0.3684016346342789,
LNET-02397,shunt_then_series,C,5.414561119678306e-12,F,L,2.0304604198793658e-08,H,-0.6000000000000001,-0.3999999999999999,0.3898215899750125,0.3900836847643806,0.4525694728834585,0.15315501763925202,2.6534316245287206,0.6528640053666426,0.3900836847643806,
LNET-02649,shunt_then_series,L,4.8731050077104735e-09,H,C,2.5989893374455867e-12,F,0.5999999999999996,0.7999999999999998,0.422670937416195,0.4198021905045409,0.4542821155186469,0.17658198337907105,2.664897297439295,0.6421477803364848,0.4198021905045409,
LNET-00794,series_then_shunt,C,1.6243683359034905e-11,F,L,6.768201399597882e-09,H,-0.20000000000000018,-1.2000000000000002,0.3074264486580074,0.3390844905700342,0.4561543497736569,0.11876275084031725,2.677514013705212,0.535304663192479,0.3390844905700342,
LNET-00887,series_then_shunt,L,1.6243683359034936e-09,H,C,3.248736671806984e-12,F,0.20000000000000018,1.0,0.30319585716013264,0.2985325734988764,0.4588555437993554,0.09652603208848072,2.69587081061853,0.4736657281690813,0.2985325734988764,
LNET-00844,series_then_shunt,none,0.0,,C,1.949242003084189e-12,F,0.0,0.5999999999999996,0.34853356183760686,0.33412491979221587,0.45887039381671446,0.11717305163284883,2.6959722350186506,0.51359138655052,0.33412491979221587,
LNET-02525,shunt_then_series,none,0.0,,C,1.949242003084189e-12,F,0.0,0.5999999999999996,0.34853356183760686,0.33412491979221587,0.45887039381671446,0.11717305163284883,2.6959722350186506,0.51359138655052,0.33412491979221587,
LNET-00801,series_then_shunt,C,1.6243683359034905e-11,F,C,6.497473343613974e-13,F,-0.20000000000000018,0.20000000000000018,0.3452609365076321,0.34066698534304785,0.45955790166165256,0.11998521577665962,2.700673959614239,0.5375873515590658,0.34066698534304785,
LNET-02561,shunt_then_series,L,1.6243683359034936e-09,H,L,2.0304604198793658e-08,H,0.20000000000000018,-0.3999999999999999,0.3218322910746434,0.32776487672991583,0.46054481401062897,0.11499035800981411,2.7074441991543043,0.5298644249867933,0.32776487672991583,
